run_id,sequence_name,alpha,beta,gamma,theta_threshold,activation_function,rmse_quaternions,rmse_euler_angles
289ccd32572f1a03d59a625c68478470,MH_03_medium,0.9,0.8,1.0,0.28,relu,"[0.007893291838301881, 0.008932502324429643, 0.007163311497147599, 0.007245206175418208]","[2.69020050339108, 1.0166758157852085, 2.374617408110233]"
cc70c5891d608a568cbac6f42aa98364,MH_04_difficult,0.9,0.8,1.0,0.28,relu,"[0.01666089986732695, 0.012487156448541871, 0.01928879308740921, 0.007454344764797925]","[3.6801231757717576, 0.6371079335595681, 2.3182233648805175]"
d851714eaa2b8c15daae993da0e8ac8e,MH_05_difficult,0.9,0.8,1.0,0.28,relu,"[0.012265028998747905, 0.015417024849409992, 0.02347193706134423, 0.009320266754208464]","[5.03733525201583, 0.723395524721465, 1.8966777434042432]"
ee60112515bb7b73797420f8319f4b9f,MH_03_medium,0.9,0.8,1.0,0.3,relu,"[0.00779345178692448, 0.00898015803375413, 0.007194616775790165, 0.006972071154806675]","[2.736268042562496, 1.0172461945060216, 2.368012571756984]"
d90cd4e880220b882324faeaa20dfa55,MH_04_difficult,0.9,0.8,1.0,0.3,relu,"[0.017606547111926628, 0.01253547345403065, 0.020227620515571837, 0.0075327696643967094]","[3.726447524877492, 0.641220549015261, 2.3452010276348028]"
9894d89ef0ffaf87f557f0bbc873029c,MH_05_difficult,0.9,0.8,1.0,0.3,relu,"[0.012480640318911575, 0.015402801409868862, 0.023751193005587878, 0.009387474519835378]","[5.05403665233659, 0.7251163105109124, 1.8815023545228091]"
cb4cdce682982cc657eff2860fb1edf9,MH_03_medium,0.9,0.8,1.0,0.2,double_exponential_sigmoid,"[0.008001681105061423, 0.008665663676609422, 0.007242359449601552, 0.007504698123804491]","[2.621154571063879, 1.0149520530396832, 2.3757035752898648]"
68bacae635202e3dab422edbbd363c55,MH_04_difficult,0.9,0.8,1.0,0.2,double_exponential_sigmoid,"[0.013443452413449236, 0.011195177499130184, 0.015611470433597972, 0.006330765701692102]","[3.428879938897116, 0.6440713371009443, 2.3374955361616183]"
136edacad0cad18529135b799791af26,MH_05_difficult,0.9,0.8,1.0,0.2,double_exponential_sigmoid,"[0.012125253310698178, 0.015550930902513247, 0.023224328817261573, 0.00946821406131853]","[5.002652842614934, 0.7238863393039138, 1.8703879138860033]"
cd70273a3e6756c622b629d608344a13,MH_03_medium,0.9,0.8,1.0,0.23,double_exponential_sigmoid,"[0.00801324873607706, 0.00880129958239856, 0.007254057157811778, 0.007565807017104655]","[2.6327883808082526, 1.0138346136761944, 2.376356344868712]"
